Task Type,Details,Due date,Days Due
Report stage not complete,"IU-SH-017063 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",05/02/2026,5 days overdue
Report stage not complete,"ID-SH-59103 : BATIK AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",07/02/2026,3 days overdue
Report stage not complete,"IU-SH-017155 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",09/02/2026,1 days overdue
Report stage not complete,"ID-SH-59159 : BATIK AIR SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",12/02/2026,Due This Week
Report stage not complete,"IU-SH-017194 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",12/02/2026,Due This Week
Report stage not complete,"IU-SH-017197 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",13/02/2026,Due This Week
Report stage not complete,"IU-SH-017320 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",14/02/2026,Due This Week
Report stage not complete,"IU-SH-017388 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",16/02/2026,Due This Month
Report stage not complete,"IU-SH-017386 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",16/02/2026,Due This Month
Report stage not complete,"IU-SH-017361 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",16/02/2026,Due This Month
Report stage not complete,"IU-SH-017363 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",16/02/2026,Due This Month
Report stage not complete,"IU-SH-017355 : SUPER AIR JET SHOR FORM | 1. Review the the Pre-Risk Assessment Index (revise accordingly - if required).    2. Go to ""Investigation"" stage if an investigation is required otherwise go to ""Validation"" stage.",16/02/2026,Due This Month
